UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
110982241,650624,2020-12-19 13:15:29,2021-01-13 14:30:16,Plac Uniwersytecki (UWr),Poza stacją,36075
111073603,651200,2020-12-23 17:59:58,2021-01-04 09:20:14,Poniatowskiego / Oleśnicka,Poza stacją,16761
111139579,651289,2020-12-29 12:46:41,2021-01-05 13:13:00,al. Brücknera / Kwidzyńska,al. Brücknera / Kwidzyńska,10107
111184502,651466,2020-12-31 23:39:21,2021-01-01 00:27:47,Zachodnia / Poznańska,Legnicka / Zachodnia ,49
111184613,651159,2020-12-31 23:58:13,2021-01-01 00:14:36,Poza stacją,Wita Stwosza / Szewska,17
111184651,650178,2021-01-01 00:10:09,2021-01-01 00:15:27,Traugutta / Kościuszki,Traugutta / Kościuszki,6
111184655,651385,2021-01-01 00:10:42,2021-01-01 00:20:17,Pilczycka / Kozanowska,Drzewieckiego / Dedala,10
111184679,651165,2021-01-01 00:15:47,2021-01-01 00:41:10,Kozanowska / Pilczycka,Bezpieczna / Obornicka,26
111184701,650582,2021-01-01 00:19:50,2021-01-01 00:33:33,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,14
111184705,57240,2021-01-01 00:21:15,2021-01-01 00:33:32,Ślężna / Kamienna (Uniw. Ekonomiczny),Poza stacją,13
111184926,57893,2021-01-01 00:53:59,2021-01-01 01:00:07,Poza stacją,Poza stacją,7
111184948,57483,2021-01-01 00:57:45,2021-01-01 01:02:33,Plac Powstańców Śląskich,Poza stacją,5
111185000,651220,2021-01-01 01:05:09,2021-01-01 01:14:02,Zaporoska / Gajowicka,Poza stacją,9
111185006,57483,2021-01-01 01:05:55,2021-01-01 01:08:44,Poza stacją,Plac Powstańców Śląskich,3
111185013,650885,2021-01-01 01:06:32,2021-01-01 01:13:56,Zaporoska / Gajowicka,Poza stacją,8
111185059,57595,2021-01-01 01:12:57,2021-01-01 01:35:42,Średzka / Dolnobrzeska ,Średzka / Dolnobrzeska ,23
111185061,650971,2021-01-01 01:13:06,2021-01-01 01:35:33,Średzka / Dolnobrzeska ,Średzka / Dolnobrzeska ,23
111185115,651218,2021-01-01 01:17:36,2021-01-01 01:40:44,Zwycięska / Ołtaszyńska,Powstańcow Śląskich / Aleja Hallera,24
111185147,650023,2021-01-01 01:21:58,2021-01-01 01:34:06,Strzegomska / Rogowska ,Strzegomska / Rogowska ,13
111185219,57941,2021-01-01 01:31:59,2021-01-01 01:44:04,Kościuszki / Pułaskiego,Zaporoska / Gajowicka,13
111185232,57153,2021-01-01 01:33:52,2021-01-01 01:46:35,Plac Legionów,Grabiszyńska / Stalowa,13
111185240,57604,2021-01-01 01:34:35,2021-01-01 01:46:15,Plac Legionów,Grabiszyńska / Stalowa,12
111185285,650643,2021-01-01 01:40:21,2021-01-01 01:55:30,Grabiszyńska / Stalowa,Powstańcow Śląskich / Aleja Hallera,16
111185474,650953,2021-01-01 02:02:39,2021-01-01 02:26:37,Świeradowska / Krynicka,Plac Dominikański (Galeria Dominikańska),24
111185481,651253,2021-01-01 02:02:54,2021-01-01 02:26:33,Świeradowska / Krynicka,Plac Dominikański (Galeria Dominikańska),24
111185483,650521,2021-01-01 02:03:43,2021-01-01 02:27:02,Świeradowska / Krynicka,Plac Dominikański (Galeria Dominikańska),24
111185534,57166,2021-01-01 02:07:35,2021-01-01 02:10:26,Plac Staszica,pl. Powstańców Wielkopolskich,3
111185639,651252,2021-01-01 02:19:20,2021-01-01 02:19:34,Marca Polo (Olimpia Port),Marca Polo (Olimpia Port),1
111185644,57911,2021-01-01 02:19:52,2021-01-01 02:36:08,Marca Polo (Olimpia Port),al. Brücknera / Kwidzyńska,17
111185648,57291,2021-01-01 02:20:05,2021-01-01 02:32:46,Szczęśliwa (Sky Tower),Traugutta / Pułaskiego,13
111185660,57950,2021-01-01 02:21:39,2021-01-01 02:29:08,Komandorska / Kamienna,"Grochowa / Jemiołowa,",8
111185697,650038,2021-01-01 02:24:53,2021-01-01 02:35:18,Szewska / Kazimierza Wielkiego ,Drobnera / Plac Bema,11
111185699,57458,2021-01-01 02:25:00,2021-01-01 02:35:15,Szewska / Kazimierza Wielkiego ,Drobnera / Plac Bema,11
111185776,57124,2021-01-01 02:34:22,2021-01-01 02:40:54,Popowice,Kozanowska / Pilczycka,7
111185779,651385,2021-01-01 02:34:27,2021-01-01 02:52:21,Drzewieckiego / Dedala,Tyrmanda / Trawowa,18
111185783,651034,2021-01-01 02:34:30,2021-01-01 02:40:22,Popowice,Kozanowska / Pilczycka,6
111185819,651221,2021-01-01 02:37:41,2021-01-01 02:55:29,al. Brücknera / Kwidzyńska,Kiełczowska,18
111185876,650350,2021-01-01 02:43:28,2021-01-01 02:59:06,Świeradowska / Krynicka,Kościuszki / Pułaskiego,16
111185924,57159,2021-01-01 02:47:58,2021-01-01 02:54:10,Świeradowska (Ferio Gaj ),Poza stacją,7
111186007,651256,2021-01-01 02:54:26,2021-01-01 03:17:37,Plac Dominikański (Galeria Dominikańska),Świeradowska / Krynicka,24
111186011,650953,2021-01-01 02:54:36,2021-01-01 03:17:31,Plac Dominikański (Galeria Dominikańska),Świeradowska / Krynicka,23
111186013,650521,2021-01-01 02:55:03,2021-01-01 03:17:38,Plac Dominikański (Galeria Dominikańska),Świeradowska / Krynicka,23
111186034,57483,2021-01-01 02:57:49,2021-01-01 04:12:14,Plac Powstańców Śląskich,Bezpieczna/Jugosławiańska,75
111186057,650385,2021-01-01 03:00:44,2021-01-01 03:17:55,Promenady Wrocławskie,Stadion Olimpijski,18
111186128,57864,2021-01-01 03:06:30,2021-01-01 03:25:20,Legnicka / Młodych Techników,Legnicka / Zachodnia ,19
111186221,650231,2021-01-01 03:17:01,2021-01-01 03:24:06,Świeradowska (Ferio Gaj ),Tarnogajska / Klimasa,8
111186226,650643,2021-01-01 03:17:38,2021-01-01 03:27:49,Powstańcow Śląskich / Aleja Hallera,Poza stacją,11
111186228,651218,2021-01-01 03:17:47,2021-01-01 03:27:54,Powstańcow Śląskich / Aleja Hallera,Poza stacją,11
111186287,651466,2021-01-01 03:25:40,2021-01-01 03:30:11,Legnicka / Zachodnia ,Legnicka / Młodych Techników,5
111186315,651339,2021-01-01 03:29:31,2021-01-01 03:35:46,Lotnicza / Bajana,Poza stacją,7
111186320,651373,2021-01-01 03:29:53,2021-01-01 03:35:28,Lotnicza / Bajana,Poza stacją,6
111186381,57415,2021-01-01 03:35:38,2021-01-01 03:45:32,Drobnera / Plac Bema,Reymonta / Kleczkowska,10
111186430,650755,2021-01-01 03:42:07,2021-01-01 03:55:09,Krakowska / Leroy Merlin,Janiszewskiego (PWr),14
111186458,57793,2021-01-01 03:46:21,2021-01-01 03:57:13,Hermanowska / Kołobrzeska,Żernicka,11
111186501,57433,2021-01-01 03:50:59,2021-01-03 12:17:47,Poza stacją,.RELOKACYJNA 2020,3387
111186526,57846,2021-01-01 03:54:03,2021-01-01 04:06:57,Gliniana / Gajowa,Świeradowska (Ferio Gaj ),13
111186531,650369,2021-01-01 03:54:46,2021-01-01 04:03:49,Hubska / Prudnicka,Tarnogajska / Klimasa,10
111186533,650204,2021-01-01 03:55:11,2021-01-01 04:04:19,Hubska / Prudnicka,Tarnogajska / Klimasa,10
111186544,650755,2021-01-01 03:56:15,2021-01-01 04:07:27,Janiszewskiego (PWr),Poza stacją,12
111186545,651303,2021-01-01 03:56:17,2021-01-01 04:00:34,Reymonta / Kleczkowska,pl. Powstańców Wielkopolskich,5
111186555,650038,2021-01-01 03:57:24,2021-01-01 04:11:39,Drobnera / Plac Bema,Plac Strzegomski / Poznańska,15
111186559,57458,2021-01-01 03:57:33,2021-01-01 04:11:49,Drobnera / Plac Bema,Plac Strzegomski / Poznańska,15
111186563,57143,2021-01-01 03:57:57,2021-01-01 03:58:12,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,1
111186569,650838,2021-01-01 03:58:43,2021-01-01 03:59:58,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,2
111186587,57197,2021-01-01 04:00:12,2021-01-01 04:00:31,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,1
111186595,650501,2021-01-01 04:00:28,2021-01-01 04:14:43,Młodych Techników,Powstańców Śląskich (Arkady Wrocławskie),15
111186634,650317,2021-01-01 04:05:09,2021-01-01 04:20:29,Ślężna / Aleja Wiśniowa,Skarbowców / Wietrzna,16
111186714,650004,2021-01-01 04:14:41,2021-01-08 14:46:43,Reymonta / Kleczkowska,Poza stacją,10713
111186775,650750,2021-01-01 04:23:02,2021-01-01 04:41:52,Grabiszyńska / Stalowa,Zaporoska / Grabiszyńska,19
111186777,57330,2021-01-01 04:23:33,2021-01-01 04:41:40,Grabiszyńska / Stalowa,Zaporoska / Grabiszyńska,19
111186819,57166,2021-01-01 04:29:36,2021-01-01 04:30:24,pl. Powstańców Wielkopolskich,pl. Powstańców Wielkopolskich,1
111186821,651303,2021-01-01 04:30:04,2021-01-01 04:56:42,pl. Powstańców Wielkopolskich,Kraszewskiego / Trzebnicka,27
111186847,651229,2021-01-01 04:34:21,2021-01-01 04:36:27,Plac Jana Pawła II (Akademia Muzyczna),pl. Orląt Lwowskich,3
111186890,650155,2021-01-01 04:41:17,2021-01-01 04:56:50,Aleja Kromera,Plac Grunwaldzki (DS Ołówek),16
111186906,650373,2021-01-01 04:43:38,2021-01-01 04:52:29,Wałbrzyska - pętla tramwajowa,Wałbrzyska - pętla tramwajowa,9
111186926,650817,2021-01-01 04:48:22,2021-01-01 04:54:37,Nowowiejska / Wyszyńskiego,Rondo Reagana,7
111186996,57549,2021-01-01 05:00:18,2021-01-01 05:23:21,Kamienna / Borowska (Aquapark),Kraszewskiego / Trzebnicka,24
111187002,650466,2021-01-01 05:01:07,2021-01-01 05:09:21,Wyszyńskiego / Szczytnicka,Żeromskiego / Daszyńskiego,9
111187147,651232,2021-01-01 05:27:19,2021-01-01 05:27:30,Sienkiewicza / Piastowska,Sienkiewicza / Piastowska,1
111187156,651232,2021-01-01 05:28:35,2021-01-01 05:35:21,Sienkiewicza / Piastowska,Janiszewskiego (PWr),7
111187166,650180,2021-01-01 05:31:22,2021-01-01 05:54:10,Hermanowska / Kołobrzeska,Kozanowska/Pałucka,23
111187236,650750,2021-01-01 05:48:31,2021-01-01 06:08:49,Zaporoska / Grabiszyńska,Racławicka / Rymarska,21
111187266,57430,2021-01-01 05:57:45,2021-01-01 06:09:38,Jagodzińska / Buforowa,Piławska,12
111187270,57235,2021-01-01 06:00:21,2021-01-01 06:18:04,Plac Grunwaldzki / Polaka,Piaskowa / św. Ducha,18
111187273,651248,2021-01-01 06:00:31,2021-01-01 06:18:04,Plac Grunwaldzki / Polaka,Piaskowa / św. Ducha,18
111187275,57504,2021-01-01 06:00:46,2021-01-01 06:02:08,Plac Grunwaldzki / Polaka,Plac Grunwaldzki / Polaka,2
111187281,650542,2021-01-01 06:03:38,2021-01-01 06:15:18,Racławicka / Rymarska,Poza stacją,12
111187289,651199,2021-01-01 06:06:35,2021-01-01 06:17:47,Joliot-Curie (Uwr),Piaskowa / św. Ducha,12
111187328,651160,2021-01-01 06:17:30,2021-01-01 06:32:41,Plac Powstańców Śląskich,Borowska (Uniw. Szpital Kliniczny),16
