UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
111744877,651295,2021-01-31 23:49:56,2021-02-01 00:11:06,Żmigrodzka / Broniewskiego,Poza stacją,22
111744932,57703,2021-02-01 00:05:35,2021-02-01 00:15:25,"Olszewskiego, pętla tramwajowa",Partyzantów / Okrzei,10
111745038,57858,2021-02-01 00:43:42,2021-02-01 00:55:56,Dworzec Główny ,Wyszyńskiego / Szczytnicka,13
111745071,650969,2021-02-01 00:55:23,2021-02-01 01:01:59,Żmigrodzka / Marino,Bałtycka / Żmigrodzka,7
111745073,651360,2021-02-01 00:55:23,2021-02-01 01:02:33,Żmigrodzka / Marino,Bałtycka / Żmigrodzka,8
111745072,57041,2021-02-01 00:55:23,2021-02-01 01:02:53,Żmigrodzka / Marino,Bałtycka / Żmigrodzka,8
111745070,57961,2021-02-01 00:55:12,2021-02-01 01:03:21,Lotnicza / Na Ostatnim Groszu,Lotnicza / Metalowców,9
111745046,650593,2021-02-01 00:46:44,2021-02-01 01:04:14,Rondo Reagana,Dworzec Główny ,18
111745090,650593,2021-02-01 01:06:01,2021-02-01 01:13:32,Dworzec Główny ,Wita Stwosza / Szewska,8
111745108,650969,2021-02-01 01:19:50,2021-02-01 01:20:37,Bałtycka / Żmigrodzka,Bałtycka / Żmigrodzka,1
111745109,57041,2021-02-01 01:20:54,2021-02-01 01:42:07,Bałtycka / Żmigrodzka,Plac Dominikański (Galeria Dominikańska),22
111745166,57182,2021-02-01 01:46:59,2021-02-01 01:55:20,.RELOKACYJNA,Kościuszki / Komuny Paryskiej / Zgodna,9
111745144,57117,2021-02-01 01:36:42,2021-02-01 01:58:46,Świeradowska (Ferio Gaj ),Tarnogajska / Klimasa,23
111745242,57303,2021-02-01 02:20:39,2021-02-01 02:28:27,Poza stacją,Wyszyńskiego / Szczytnicka,8
111745254,650801,2021-02-01 02:31:21,2021-02-01 02:43:02,Wyszyńskiego / Szczytnicka,Szewska / Kazimierza Wielkiego ,12
111745275,650801,2021-02-01 02:43:37,2021-02-01 02:47:17,Szewska / Kazimierza Wielkiego ,Kazimierza Wielkiego (Helios),4
111745313,57155,2021-02-01 03:04:45,2021-02-01 03:24:42,Czekoladowa / Wałbrzyska,Tyrmanda / Trawowa,20
111745352,650307,2021-02-01 03:27:33,2021-02-01 03:36:35,Jedności Narodowej / Wyszyńskiego,Reymonta / Kleczkowska,10
111745361,650616,2021-02-01 03:34:25,2021-02-01 03:40:05,Szczęśliwa (Sky Tower),Zaporoska / Grabiszyńska,6
111745369,57795,2021-02-01 03:39:16,2021-02-01 03:52:09,Borowska (Uniw. Szpital Kliniczny),Poza stacją,13
111745424,651307,2021-02-01 04:20:08,2021-02-01 04:38:30,Stabłowicka / Główna ,Pilczycka / Koszykarska,19
111745446,650315,2021-02-01 04:34:05,2021-02-01 04:43:32,Nyska / Jesionowa,Kamienna / Borowska (Aquapark),10
111745454,651307,2021-02-01 04:39:08,2021-02-01 04:44:14,Pilczycka / Koszykarska,Kozanowska / Pilczycka,6
111745449,650288,2021-02-01 04:34:58,2021-02-01 04:44:24,Kamienna / Borowska (Aquapark),Nyska / Jesionowa,10
111745452,650501,2021-02-01 04:37:52,2021-02-01 04:48:49,Ślężna / Aleja Wiśniowa,Dworzec Główny ,11
111745461,650590,2021-02-01 04:42:50,2021-02-01 04:50:22,al. Jana III Sobieskiego / stacja kolejowa,Wilanowska,8
111745475,651127,2021-02-01 04:49:01,2021-02-01 04:55:25,Marca Polo (Olimpia Port),Mickiewicza / pętla tramwajowa,7
111745481,57744,2021-02-01 04:52:12,2021-02-01 04:57:41,Dyrekcyjna / Borowska (Wroclavia),Gliniana / Gajowa,6
111745466,651307,2021-02-01 04:44:47,2021-02-01 05:02:16,Kozanowska / Pilczycka,"Paprotna / Obornicka, zajezdnia MPK",18
111745484,57858,2021-02-01 04:55:58,2021-02-01 05:17:20,Wyszyńskiego / Szczytnicka,Bardzka / Piękna,22
111745521,650023,2021-02-01 05:16:35,2021-02-01 05:20:06,Sienkiewicza / Wyszyńskiego,Nowowiejska / Wyszyńskiego,4
111745537,57895,2021-02-01 05:24:04,2021-02-01 05:24:51,Pereca / Grabiszyńska,Pereca / Grabiszyńska,1
111745540,57733,2021-02-01 05:25:18,2021-02-01 05:25:47,Hermanowska / Kołobrzeska,Hermanowska / Kołobrzeska,1
111745523,651351,2021-02-01 05:19:29,2021-02-01 05:26:10,Kamienna / Tomaszowska,Ślężna / Kamienna (Uniw. Ekonomiczny),7
111745545,57895,2021-02-01 05:26:17,2021-02-01 05:27:23,Pereca / Grabiszyńska,Pereca / Grabiszyńska,2
111745527,651298,2021-02-01 05:20:44,2021-02-01 05:33:05,Grabiszyńska / Stalowa,Powstańcow Śląskich / Aleja Hallera,13
111745550,651368,2021-02-01 05:27:54,2021-02-01 05:37:21,Pereca / Grabiszyńska,Grabiszyńska / Magazynierska (Corte Verona),10
111745555,651351,2021-02-01 05:30:28,2021-02-01 05:38:12,Ślężna / Kamienna (Uniw. Ekonomiczny),Powstańcow Śląskich / Aleja Hallera,8
111745538,57086,2021-02-01 05:24:08,2021-02-01 05:38:15,Tyrmanda / Mińska,Klecińska (Wrocław Grabiszyn),15
111745544,650989,2021-02-01 05:26:11,2021-02-01 05:39:06,Hermanowska / Kołobrzeska,Pilczycka (Stadion Miejski),13
111745546,57056,2021-02-01 05:26:25,2021-02-01 05:39:55,Kurkowa / Dubois,Bezpieczna/Jugosławiańska,14
111745595,57166,2021-02-01 05:41:47,2021-02-01 05:47:01,Żeromskiego / Daszyńskiego,Poza stacją,6
111745606,651139,2021-02-01 05:45:17,2021-02-01 05:49:23,Zachodnia / Poznańska,Plac Strzegomski / Poznańska,5
111745614,651357,2021-02-01 05:47:24,2021-02-01 05:55:33,al. Poprzeczna / stacja kolejowa,Koszarowa / UWr,9
111745662,650501,2021-02-01 06:01:22,2021-02-01 06:01:52,Dworzec Główny ,Dworzec Główny ,1
111745666,651130,2021-02-01 06:03:12,2021-02-01 06:03:28,Dworzec Główny ,Dworzec Główny ,1
111745671,650911,2021-02-01 06:04:11,2021-02-01 06:20:27,Kołłątaja / Podwale,Wyszyńskiego / Szczytnicka,17
111745720,650220,2021-02-01 06:14:48,2021-02-01 06:20:45,Ślężna / Kamienna (Uniw. Ekonomiczny),Plac Powstańców Śląskich,6
111745708,650630,2021-02-01 06:12:09,2021-02-01 06:24:24,Wałbrzyska - pętla tramwajowa,Aleja Bielany,13
111745768,651249,2021-02-01 06:26:50,2021-02-01 06:34:21,Drzewieckiego / Dedala,Legnicka / Wejherowska,8
111745652,650842,2021-02-01 05:59:18,2021-02-01 06:41:07,Rogowska/Sukielicka,Aleja Bielany,42
111745906,650846,2021-02-01 06:46:34,2021-02-01 06:48:56,Legnicka / Młodych Techników,Plac Strzegomski / Poznańska,3
111745909,650501,2021-02-01 06:46:46,2021-02-01 06:51:34,Dworzec Główny ,Plac Legionów,5
111745943,651144,2021-02-01 06:51:10,2021-02-01 06:51:48,Stacyjna (Dworzec Mikołajów),Stacyjna (Dworzec Mikołajów),1
111745912,650177,2021-02-01 06:47:08,2021-02-01 06:51:57,"Dworzec Główny, południe","Dworzec Główny, południe",5
111745849,651226,2021-02-01 06:40:06,2021-02-01 06:53:05,Grabiszyńska / Stalowa,Fabryczna / Wagonowa,13
111745946,651327,2021-02-01 06:52:08,2021-02-01 06:58:35,"Dworzec Główny, południe",Szczęśliwa (Sky Tower),7
111745910,650587,2021-02-01 06:46:49,2021-02-01 07:01:45,Krakowska / Leroy Merlin,"Dworzec Główny, południe",15
111745983,651110,2021-02-01 06:55:44,2021-02-01 07:07:12,Wróblewskiego (Teki),Janiszewskiego (PWr),12
111746009,650430,2021-02-01 06:57:26,2021-02-01 07:07:23,Popowicka / Niedźwiedzia ,Fabryczna / Wagonowa,10
111745668,57822,2021-02-01 06:03:30,2021-02-01 07:08:24,Bacciarellego,Borowska (Uniw. Szpital Kliniczny),65
111746065,57903,2021-02-01 07:04:05,2021-02-01 07:09:08,Świeradowska (Ferio Gaj ),Poza stacją,6
111746089,650805,2021-02-01 07:06:24,2021-02-01 07:13:45,Boguszowska / Kosmonautów,"Kosmonautów / Fieldorfa, szpital wojewódzki",8
111746047,650177,2021-02-01 07:02:32,2021-02-01 07:13:49,"Dworzec Główny, południe",al. Armii Krajowej / Borowska,12
111746174,651130,2021-02-01 07:13:46,2021-02-01 07:13:52,Dworzec Główny ,Dworzec Główny ,1
111746078,57780,2021-02-01 07:05:22,2021-02-01 07:17:27,Traugutta / Pułaskiego,Wyszyńskiego / Szczytnicka,13
111746230,650177,2021-02-01 07:19:05,2021-02-01 07:29:32,al. Armii Krajowej / Borowska,al. Armii Krajowej / Borowska,11
111746414,57352,2021-02-01 07:32:49,2021-02-01 07:33:51,Kraszewskiego / Trzebnicka,Kraszewskiego / Trzebnicka,2
111746228,650587,2021-02-01 07:18:31,2021-02-01 07:34:20,"Dworzec Główny, południe",Borowska (Uniw. Szpital Kliniczny),16
111746300,651465,2021-02-01 07:24:36,2021-02-01 07:34:45,Plac Świętego Macieja / Trzebnicka,Obornicka / Bałtycka,11
111746398,651060,2021-02-01 07:31:15,2021-02-01 07:37:21,Plac Uniwersytecki (UWr),Rynek,7
111746495,650841,2021-02-01 07:36:59,2021-02-01 07:40:50,Plac Grunwaldzki (DS Ołówek),Łukasiewicza / Smoluchowskiego (PWr),4
